version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Example: Chris Green, chris@contoso.com,Azure@123456, No,,,,,,,,,,,,,
u1,u1@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u2,u2@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u3,u3@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u4,u4@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u5,u5@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u6,u6@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u7,u7@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u8,u8@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u9,u9@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u10,u10@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u11,u11@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u12,u12@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u13,u13@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u14,u14@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u15,u15@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u16,u16@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u17,u17@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u18,u18@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u19,u19@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u20,u20@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u21,u21@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u22,u22@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u23,u23@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u24,u24@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u25,u25@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u26,u26@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u27,u27@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u28,u28@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u29,u29@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u30,u30@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u31,u31@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u32,u32@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u33,u33@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u34,u34@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u35,u35@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u36,u36@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u37,u37@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u38,u38@atintrainermctgmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
