version:v1.0																
Name [displayName] Required	User name [userPrincipalName] Required	Initial password [passwordProfile] Required	Block sign in (Yes/No) [accountEnabled] Required	First name [givenName]	Last name [surname]	Job title [jobTitle]	Department [department]	Usage location [usageLocation]	Street address [streetAddress]	State or province [state]	Country or region [country]	Office [physicalDeliveryOfficeName]	City [city]	ZIP or postal code [postalCode]	Office phone [telephoneNumber]	Mobile phone [mobile]
Example: Chris Green	 chris@contoso.com	 myPassword1234	 No													
u1	u1@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u2	u2@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u3	u3@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u4	u4@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u5	u5@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u6	u6@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u7	u7@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u8	u8@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u9	u9@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u10	u10@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u11	u11@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u12	u12@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u13	u13@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u14	u14@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u15	u15@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u16	u16@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u17	u17@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u18	u18@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u19	u19@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u20	u20@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u21	u21@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u22	u22@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u23	u23@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u24	u24@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u25	u25@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u26	u26@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u27	u27@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u28	u28@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u29	u29@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u30	u30@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u31	u31@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u32	u32@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u33	u33@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u34	u34@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u35	u35@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u36	u36@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u37	u37@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
u38	u38@atingupta2005gmailcom.onmicrosoft.com	 myPassword1234	 No													
