version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Example: Chris Green, chris@contoso.com,Azure@123456, No,,,,,,,,,,,,,
u1,u1@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u2,u2@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u3,u3@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u4,u4@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u5,u5@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u6,u6@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u7,u7@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u8,u8@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u9,u9@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u10,u10@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u11,u11@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u12,u12@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u13,u13@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u14,u14@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u15,u15@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u16,u16@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u17,u17@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u18,u18@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u19,u19@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u20,u20@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u21,u21@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u22,u22@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u23,u23@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u24,u24@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u25,u25@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u26,u26@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u27,u27@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u28,u28@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u29,u29@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u30,u30@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u31,u31@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u32,u32@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u33,u33@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u34,u34@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u35,u35@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u36,u36@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u37,u37@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u38,u38@atintrainermct2gmail.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
